MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
60,4,102.0,12.858,0,-1,1,0,0,0,0,6,0,0,0,1,9,5,2009,2010,0,0,0,0,2,162.0,2,0,0,2,0,0,0,0.0,0,0.0,1590.0,1590.0,0,0,0,0,1627,707,0,2334,0.0,0.0,2,1,3,1,2,10,0,1,0,0,2009.0,2,3.0,751.0,0,0,0,144,133,0,0,0,0,-1,-1,-1,0,1,2010,1,1
20,4,94.0,12.883,0,-1,1,0,0,1,0,6,0,0,0,0,8,5,2009,2010,0,0,0,0,2,256.0,1,0,0,1,0,0,0,0.0,0,0.0,1544.0,1544.0,0,0,0,0,1544,0,0,1544,0.0,0.0,2,0,3,1,1,7,0,0,-1,0,2009.0,1,3.0,868.0,0,0,0,0,35,0,0,0,0,-1,-1,-1,0,6,2010,1,1
20,4,90.0,11.52,0,-1,0,0,0,0,0,6,4,0,0,0,9,5,2005,2005,1,0,0,0,1,615.0,1,0,0,2,0,0,1,110.0,0,0.0,1588.0,1698.0,0,0,0,0,1698,0,0,1698,0.0,0.0,2,0,3,1,2,7,0,1,0,0,2005.0,2,3.0,730.0,0,0,0,192,74,0,0,0,0,-1,-1,-1,0,6,2010,0,0
20,4,79.0,14.122,0,-1,1,0,0,0,0,6,0,0,0,0,8,5,2005,2006,1,0,5,5,1,240.0,1,0,0,2,0,0,1,28.0,0,0.0,1794.0,1822.0,0,0,0,0,1822,0,0,1822,0.0,0.0,2,0,3,1,2,8,0,1,0,0,2005.0,1,3.0,678.0,0,0,0,0,119,0,0,0,0,-1,-1,-1,0,2,2010,0,0
20,4,110.0,14.3,0,-1,0,1,0,0,1,6,0,0,0,0,9,5,2003,2004,1,0,0,0,1,1095.0,2,0,0,2,0,2,1,1373.0,0,0.0,1473.0,2846.0,0,0,0,0,2696,0,0,2696,1.0,0.0,2,1,3,1,2,10,0,2,0,0,2003.0,2,3.0,958.0,0,0,0,220,150,0,0,0,0,-1,-1,-1,0,6,2010,0,0
60,4,105.0,13.65,0,-1,0,0,0,1,0,6,0,0,0,1,8,5,2002,2002,0,0,0,0,1,232.0,1,0,0,1,0,2,1,578.0,0,0.0,1093.0,1671.0,0,0,0,0,1687,563,0,2250,1.0,0.0,2,1,3,1,1,7,0,1,4,0,2002.0,2,3.0,756.0,0,0,0,238,130,0,0,0,0,-1,-1,-1,0,6,2010,0,0
120,4,41.0,7.132,0,-1,1,0,0,0,0,6,0,0,1,0,8,5,2006,2006,0,0,0,0,2,178.0,1,0,0,1,0,3,1,24.0,0,0.0,1346.0,1370.0,0,0,0,0,1370,0,0,1370,0.0,0.0,2,0,2,1,1,6,0,1,0,0,2006.0,1,2.0,484.0,0,0,0,120,49,0,0,0,0,-1,-1,-1,0,4,2010,0,0
20,4,100.0,18.494,0,-1,1,0,0,1,0,7,0,0,0,0,6,5,2005,2005,0,0,0,0,0,0.0,1,0,0,1,0,0,0,0.0,0,0.0,1324.0,1324.0,0,0,0,0,1324,0,0,1324,0.0,0.0,2,0,3,1,1,6,0,0,-1,0,2005.0,2,2.0,430.0,0,0,0,36,23,0,0,0,0,-1,-1,-1,0,1,2010,0,0
120,4,43.0,3.203,0,-1,0,0,0,0,0,22,0,0,1,0,7,5,2006,2006,0,0,0,0,1,14.0,1,0,0,1,0,1,1,16.0,0,0.0,1129.0,1145.0,0,0,0,0,1145,0,0,1145,0.0,0.0,2,0,2,1,1,6,0,0,-1,0,2006.0,2,2.0,437.0,0,0,0,100,116,0,0,0,0,-1,-1,-1,0,1,2010,0,0
80,4,67.0,13.3,0,-1,1,0,0,0,0,7,0,0,0,3,7,5,2004,2004,0,0,0,0,0,0.0,1,0,0,1,0,0,1,326.0,0,0.0,58.0,384.0,0,0,0,0,744,630,0,1374,1.0,0.0,2,1,3,1,1,7,0,1,0,2,2004.0,2,2.0,400.0,0,0,0,100,0,0,0,0,0,-1,-1,-1,0,6,2010,0,0
60,4,63.0,8.577,0,-1,1,0,0,0,0,7,0,0,0,1,7,5,2004,2004,0,0,0,0,0,0.0,1,0,0,1,0,0,0,0.0,0,0.0,847.0,847.0,0,0,0,0,847,886,0,1733,0.0,0.0,2,1,3,1,1,7,0,1,0,2,2004.0,2,2.0,433.0,0,0,0,144,48,0,0,0,0,-1,-1,-1,0,4,2010,0,0
60,4,60.0,17.433,0,-1,2,0,0,2,0,16,0,0,0,1,8,5,1998,1998,1,0,0,0,1,114.0,1,0,0,2,0,0,0,0.0,0,0.0,1629.0,1629.0,0,0,0,0,1645,830,0,2475,0.0,0.0,2,1,4,1,1,7,0,1,1,0,1998.0,2,3.0,962.0,0,0,0,23,172,0,0,256,0,-1,-1,-1,0,1,2010,0,0
20,4,73.0,8.987,0,-1,0,0,0,0,0,5,0,0,0,0,8,5,2005,2006,0,0,0,0,1,226.0,1,0,0,1,0,-1,0,0.0,0,0.0,1595.0,1595.0,0,0,0,0,1595,0,0,1595,0.0,0.0,2,0,2,1,1,6,0,1,0,0,2005.0,1,3.0,880.0,0,0,0,144,0,0,0,0,0,-1,-1,-1,0,5,2010,0,0
20,2,92.0,9.215,0,-1,0,0,0,0,0,5,0,0,0,0,7,5,2009,2010,1,0,0,0,0,0.0,1,0,0,1,0,0,0,0.0,0,0.0,1218.0,1218.0,0,0,0,0,1218,0,0,1218,0.0,0.0,2,0,2,1,1,4,0,0,-1,0,2009.0,1,2.0,676.0,0,0,0,0,136,0,0,0,0,-1,-1,-1,0,4,2010,1,1
20,2,84.0,10.44,0,-1,0,0,0,1,0,5,0,0,0,0,6,5,2005,2005,0,0,0,0,0,0.0,1,0,0,2,0,0,1,1414.0,0,0.0,54.0,1468.0,0,0,0,0,1468,0,0,1468,1.0,0.0,2,0,2,1,1,6,0,1,0,0,2005.0,2,2.0,528.0,0,0,0,0,102,0,0,216,0,-1,-1,-1,0,5,2010,0,0
60,4,70.0,11.92,0,-1,0,0,0,0,0,10,0,0,0,1,7,5,2004,2004,0,0,0,0,1,122.0,1,0,0,1,0,1,0,0.0,0,0.0,831.0,831.0,0,0,0,0,831,828,0,1659,0.0,0.0,2,1,3,1,1,8,0,0,-1,0,2004.0,1,2.0,484.0,0,0,0,144,68,0,0,0,0,-1,-1,-1,0,4,2010,0,0
30,1,70.0,9.8,0,-1,0,0,0,1,0,10,1,0,0,0,5,5,1920,1950,0,0,3,3,0,0.0,0,2,2,0,0,0,0,0.0,0,0.0,816.0,816.0,0,1,1,1,1012,0,0,1012,0.0,0.0,1,0,2,1,0,5,0,0,-1,1,1920.0,0,1.0,429.0,0,0,0,121,0,80,0,0,0,-1,-1,-1,0,4,2010,0,0
20,4,39.0,15.41,0,-1,1,0,0,2,0,8,8,0,0,0,6,6,1974,2002,1,0,4,4,3,250.0,0,1,1,0,0,2,4,126.0,5,859.0,223.0,1208.0,0,0,0,0,1494,0,0,1494,1.0,0.0,2,0,3,1,0,7,0,2,2,0,1974.0,2,2.0,461.0,0,0,0,296,0,186,0,0,0,-1,1,-1,0,4,2010,0,2
60,4,85.0,13.143,0,-1,1,0,0,0,0,16,0,0,0,1,8,5,1993,1993,0,0,2,11,1,504.0,1,0,0,1,0,0,5,250.0,5,981.0,0.0,1231.0,0,0,0,0,1251,1098,0,2349,1.0,0.0,2,1,4,1,1,9,0,1,1,0,1993.0,1,3.0,762.0,0,0,0,32,130,0,0,0,0,-1,-1,-1,0,6,2010,0,0
60,4,88.0,11.134,0,-1,0,0,0,0,0,16,0,0,0,1,8,5,1992,1993,0,0,2,2,1,180.0,1,0,0,1,0,0,1,1129.0,0,0.0,261.0,1390.0,0,0,0,0,1402,823,0,2225,1.0,0.0,2,1,4,1,1,7,0,1,1,0,1992.0,1,3.0,713.0,0,0,0,198,30,0,0,0,0,-1,-1,-1,0,6,2010,0,0
120,2,25.0,4.835,0,-1,1,0,0,2,0,5,0,0,1,0,7,5,2004,2005,0,0,1,1,0,0.0,1,0,0,2,0,1,1,1298.0,0,0.0,190.0,1488.0,0,0,0,0,1488,0,0,1488,1.0,0.0,2,0,2,1,1,6,0,1,0,0,2004.0,2,2.0,506.0,0,0,0,168,50,0,0,0,0,-1,-1,-1,0,3,2010,0,0
160,2,39.0,3.515,0,0,0,0,0,0,0,5,0,0,1,1,7,5,2004,2004,0,0,0,0,0,0.0,1,0,0,1,0,0,0,0.0,0,0.0,840.0,840.0,0,0,0,0,840,840,0,1680,0.0,0.0,2,1,2,1,1,3,0,0,-1,0,2004.0,1,2.0,588.0,0,0,0,0,111,0,0,0,0,-1,-1,-1,0,1,2010,0,0
160,2,30.0,3.215,0,0,0,0,0,0,0,5,0,0,1,1,7,5,2004,2004,0,0,1,1,1,120.0,1,0,0,1,0,1,1,280.0,0,0.0,320.0,600.0,0,0,0,0,600,600,0,1200,0.0,0.0,2,1,2,1,1,4,0,0,-1,1,2004.0,1,2.0,480.0,0,0,0,0,172,0,0,0,0,-1,-1,-1,0,4,2010,3,0
160,2,24.0,2.544,0,0,0,0,0,0,0,5,0,0,3,1,7,5,2004,2005,0,0,1,1,0,0.0,1,0,0,1,0,0,1,368.0,4,42.0,190.0,600.0,0,0,0,0,600,600,0,1200,1.0,0.0,2,1,2,1,1,4,0,0,-1,1,2004.0,1,2.0,480.0,0,0,0,0,172,0,0,0,0,-1,-1,-1,0,2,2010,0,0
160,2,24.0,2.544,0,0,0,0,0,0,0,5,0,0,3,1,6,5,2005,2005,0,0,0,0,1,216.0,1,0,0,1,0,0,1,376.0,0,0.0,224.0,600.0,0,0,0,0,600,636,0,1236,1.0,0.0,2,1,2,1,1,4,0,0,-1,1,2005.0,1,2.0,480.0,0,0,0,0,166,0,0,0,0,-1,-1,-1,0,5,2010,0,0
160,2,-1.0,2.98,0,-1,0,0,0,1,0,5,0,0,1,1,6,5,2000,2000,0,0,1,1,1,1159.0,1,0,0,1,0,0,1,466.0,0,0.0,290.0,756.0,0,0,0,0,756,756,0,1512,1.0,0.0,2,1,2,1,1,5,0,0,-1,1,2000.0,0,2.0,440.0,0,0,0,0,32,0,0,0,0,-1,-1,-1,0,5,2010,0,0
160,2,-1.0,2.403,0,-1,1,0,0,3,0,5,0,0,1,1,7,5,2003,2003,0,0,0,0,0,0.0,1,0,0,1,0,0,1,244.0,0,0.0,286.0,530.0,0,0,0,0,530,550,0,1080,0.0,0.0,2,1,2,1,1,4,0,0,-1,0,2003.0,1,2.0,496.0,0,0,0,0,50,0,0,0,0,-1,-1,-1,0,6,2010,0,0
20,2,57.0,12.853,0,0,1,0,0,0,0,5,0,0,0,0,8,5,2010,2010,0,0,5,5,0,0.0,1,0,0,2,3,0,1,1032.0,0,0.0,610.0,1642.0,0,0,0,0,1418,0,0,1418,1.0,0.0,1,1,1,1,1,6,0,1,0,0,2010.0,1,3.0,852.0,0,0,0,160,192,0,224,0,0,-1,-1,-1,0,4,2010,1,1
60,2,68.0,7.379,0,-1,1,0,0,0,0,5,0,0,0,1,8,5,2000,2000,0,0,0,0,0,0.0,1,0,0,1,0,0,1,484.0,0,0.0,491.0,975.0,0,0,0,0,975,873,0,1848,1.0,0.0,2,1,3,1,1,7,0,1,1,0,2000.0,1,2.0,592.0,0,0,0,280,184,0,0,0,0,-1,-1,-1,0,4,2010,0,0
20,2,80.0,8.0,0,-1,0,0,0,0,0,5,0,0,0,0,7,5,2002,2002,0,0,0,0,0,0.0,1,0,0,1,0,0,1,833.0,0,0.0,659.0,1492.0,0,0,0,0,1492,0,0,1492,1.0,0.0,2,0,3,1,1,6,0,1,0,0,2002.0,1,2.0,596.0,0,0,0,277,137,0,0,0,0,-1,-1,-1,0,4,2010,0,0
20,4,-1.0,10.456,0,-1,1,0,0,0,0,9,0,0,0,0,6,6,1967,1967,1,0,2,2,1,120.0,0,0,1,0,0,0,1,506.0,0,0.0,1323.0,1829.0,0,2,0,0,1829,0,0,1829,1.0,0.0,2,0,4,1,0,8,0,0,-1,0,1967.0,1,2.0,535.0,0,0,0,0,76,0,0,0,0,-1,-1,-1,0,5,2010,0,0
60,4,80.0,10.791,0,-1,0,0,0,0,0,9,0,0,0,1,6,5,1993,1993,0,0,1,1,0,0.0,0,0,0,1,0,3,1,1137.0,0,0.0,143.0,1280.0,0,0,0,0,1280,1215,0,2495,1.0,0.0,2,1,4,1,1,9,0,1,1,0,1993.0,0,2.0,660.0,0,0,0,224,32,0,0,0,0,-1,-1,-1,0,3,2010,0,0
50,4,-1.0,18.837,0,-1,1,0,0,0,0,9,0,0,0,2,6,5,1978,1978,0,0,1,1,0,0.0,0,0,0,1,0,3,2,687.0,2,46.0,491.0,1224.0,0,1,0,0,1287,604,0,1891,0.0,1.0,3,0,3,1,0,7,0,1,1,0,1978.0,1,2.0,678.0,0,0,0,0,69,0,0,0,0,-1,-1,-1,0,4,2010,0,0
60,4,80.0,9.6,0,-1,0,0,0,0,0,9,0,0,0,1,6,6,1971,1971,0,0,1,1,0,0.0,0,0,1,0,0,0,2,329.0,0,0.0,386.0,715.0,0,1,0,0,930,715,0,1645,0.0,0.0,1,2,4,1,0,7,0,0,-1,0,1971.0,1,2.0,441.0,0,0,0,0,78,0,0,0,0,-1,2,-1,0,6,2010,0,0
20,4,80.0,9.6,0,-1,0,0,0,0,0,0,0,0,0,0,5,5,1966,1966,1,0,0,0,1,172.0,0,0,1,0,0,0,3,698.0,0,0.0,534.0,1232.0,0,1,0,0,1232,0,0,1232,1.0,0.0,1,1,3,1,0,6,0,0,-1,0,1966.0,1,2.0,490.0,0,0,0,0,224,0,0,0,0,-1,-1,-1,0,4,2010,0,0
20,4,90.0,9.9,0,-1,0,0,0,1,0,0,0,0,0,0,5,5,1966,1966,1,0,2,2,0,0.0,0,0,0,1,0,0,4,1059.0,0,0.0,150.0,1209.0,0,2,0,0,1209,0,0,1209,1.0,0.0,1,0,3,1,0,6,0,0,-1,0,1966.0,1,2.0,504.0,0,0,0,0,0,120,0,0,0,-1,-1,-1,0,4,2010,3,0
20,4,88.0,9.68,0,-1,0,0,0,0,0,0,0,0,0,0,5,6,1967,1967,0,0,3,4,1,268.0,0,0,1,0,0,0,4,1010.0,0,0.0,500.0,1510.0,0,0,0,0,1510,0,0,1510,1.0,0.0,2,0,3,1,1,6,0,0,-1,0,1967.0,1,2.0,517.0,0,0,0,0,40,0,0,204,0,-1,1,-1,0,4,2010,0,0
80,4,-1.0,10.6,0,0,1,0,0,0,0,0,0,0,0,3,6,5,1964,1964,0,0,2,2,0,0.0,0,0,1,0,0,0,0,0.0,0,0.0,533.0,533.0,0,1,0,0,1131,644,0,1775,0.0,0.0,2,0,3,1,0,8,0,0,-1,0,1964.0,0,2.0,480.0,0,0,0,0,172,0,0,0,0,-1,-1,-1,0,5,2010,2,3
90,4,98.0,13.26,0,-1,1,0,0,0,0,0,0,0,2,0,5,6,1962,2001,1,0,2,2,1,144.0,0,0,1,0,0,0,4,1500.0,0,0.0,228.0,1728.0,0,1,0,0,1728,0,0,1728,2.0,0.0,2,0,6,2,0,10,0,0,-1,-1,-1.0,-1,0.0,0.0,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,0,1,2010,7,2
50,4,68.0,9.724,0,-1,0,0,0,0,0,0,0,0,0,2,5,7,1952,2002,0,0,1,1,1,265.0,1,0,1,0,0,0,5,670.0,0,0.0,470.0,1140.0,0,2,0,0,1929,532,0,2461,0.0,0.0,2,0,3,1,0,7,2,2,0,1,1994.0,0,2.0,400.0,0,0,0,0,0,0,0,0,0,-1,2,-1,0,3,2010,0,0
50,4,120.0,17.36,0,-1,0,0,0,1,0,0,2,0,0,2,6,6,1949,1950,0,0,1,1,2,340.0,0,1,1,0,0,0,3,300.0,0,0.0,482.0,782.0,0,1,0,0,1019,537,0,1556,0.0,0.0,2,0,3,1,0,6,0,1,0,0,1949.0,0,2.0,470.0,0,0,0,0,0,150,0,0,0,-1,-1,-1,0,1,2010,0,0
85,4,75.0,11.38,0,-1,1,0,0,0,0,0,0,0,0,4,6,8,1966,2008,0,0,2,2,1,216.0,0,0,1,0,0,2,1,944.0,0,0.0,136.0,1080.0,0,2,0,0,1128,0,0,1128,1.0,0.0,1,0,2,1,1,5,0,1,0,0,1966.0,0,1.0,315.0,0,0,0,238,0,0,0,0,0,-1,-1,0,1500,1,2010,0,0
90,4,70.0,8.267,0,-1,0,0,0,1,0,0,1,0,2,0,5,5,1958,1958,0,0,2,2,0,0.0,0,0,1,0,0,0,0,0.0,0,0.0,1604.0,1604.0,0,1,0,0,1604,0,0,1604,0.0,0.0,2,0,4,2,0,8,0,0,-1,0,1958.0,0,2.0,576.0,0,0,0,42,0,0,0,0,0,-1,-1,-1,0,3,2010,0,0
20,4,70.0,8.197,0,-1,0,0,0,0,0,0,0,0,0,0,7,5,2003,2009,0,0,0,0,1,506.0,1,0,0,1,0,0,1,1188.0,0,0.0,292.0,1480.0,0,0,0,0,1480,0,0,1480,1.0,0.0,2,0,3,1,1,7,0,0,-1,0,2003.0,1,2.0,620.0,0,0,0,252,73,0,0,0,0,-1,0,0,300,2,2010,0,0
20,4,-1.0,8.05,0,-1,1,0,0,0,0,0,0,0,0,0,5,5,1959,1959,1,0,1,1,1,150.0,0,0,1,0,0,0,4,856.0,1,162.0,125.0,1143.0,0,1,0,0,1143,0,0,1143,1.0,0.0,1,0,3,1,0,6,0,0,-1,0,1959.0,1,1.0,308.0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,5,2010,0,0
20,4,87.0,10.725,0,-1,1,0,0,0,0,0,0,0,0,0,5,5,1959,1959,1,0,1,1,1,91.0,0,0,1,0,0,0,3,936.0,0,0.0,270.0,1206.0,0,3,0,0,1206,0,0,1206,0.0,0.0,1,0,3,1,0,6,0,0,-1,0,1959.0,1,1.0,312.0,0,0,0,0,21,0,0,0,0,-1,-1,-1,0,5,2010,0,0
20,4,80.0,10.032,0,-1,0,0,0,0,0,0,0,0,0,0,6,5,1959,1959,0,0,3,3,2,432.0,0,0,1,0,0,0,3,734.0,0,0.0,510.0,1244.0,0,0,0,0,1580,0,0,1580,1.0,0.0,1,1,3,1,0,6,0,2,0,0,1956.0,0,2.0,440.0,0,0,0,0,28,0,0,160,0,-1,2,-1,0,6,2010,0,0
50,4,60.0,8.382,0,-1,0,0,0,0,0,0,0,0,0,2,4,5,1956,1956,0,0,1,1,0,0.0,0,0,1,0,0,0,0,0.0,0,0.0,832.0,832.0,0,1,0,1,832,505,0,1337,0.0,0.0,1,0,3,1,0,5,0,0,-1,0,1956.0,0,1.0,263.0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,2,2010,0,0
20,4,60.0,10.95,0,-1,0,0,0,0,0,0,0,0,0,0,5,7,1952,1952,0,0,7,6,0,0.0,0,0,1,0,0,0,4,339.0,0,0.0,525.0,864.0,0,1,0,0,1064,0,0,1064,0.0,1.0,1,0,2,1,3,4,0,0,-1,1,1952.0,0,1.0,318.0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,5,2010,0,0
20,4,119.0,10.895,0,-1,0,0,0,1,0,0,0,0,0,0,5,6,1955,1955,0,0,1,1,0,0.0,0,1,1,0,0,0,3,648.0,0,0.0,324.0,972.0,0,1,0,0,972,0,0,972,0.0,0.0,1,0,3,1,0,5,0,0,-1,0,1955.0,0,1.0,305.0,0,0,0,0,0,205,0,0,0,-1,2,-1,0,6,2010,0,0
190,4,70.0,13.587,0,-1,0,0,0,0,0,0,0,0,4,0,5,5,1958,1958,0,0,1,1,0,0.0,0,0,1,0,0,1,3,532.0,0,0.0,456.0,988.0,0,1,0,0,988,0,0,988,1.0,0.0,1,0,2,1,0,5,0,0,-1,0,1958.0,0,1.0,264.0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,4,2010,0,2
