MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,tag
20,4,70.0,11.2,0,-1,0,0,0,0,0,8,0,0,0,0,5,5,1965,1965,1,0,2,2,0,0.0,0,0,1,0,0,0,3,906.0,0,0.0,134.0,1040.0,0,0,0,0,1040,0,0,1040,1.0,0.0,1,0,3,1,0,5,0,0,-1,1,1965.0,0,1.0,384.0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,2,2008,0,0,129.5
60,4,85.0,11.924,0,-1,1,0,0,0,0,6,0,0,0,1,9,5,2005,2006,1,0,7,6,2,286.0,2,0,0,2,0,0,1,998.0,0,0.0,177.0,1175.0,0,0,0,0,1182,1142,0,2324,1.0,0.0,3,0,4,1,2,11,0,2,0,2,2005.0,2,3.0,736.0,0,0,0,147,21,0,0,0,0,-1,-1,-1,0,7,2006,1,1,345.0
20,4,-1.0,12.968,0,-1,2,0,0,0,0,8,0,0,0,0,5,6,1962,1962,1,0,2,4,0,0.0,0,0,1,0,0,0,2,737.0,0,0.0,175.0,912.0,0,1,0,0,912,0,0,912,1.0,0.0,1,0,2,1,0,4,0,0,-1,1,1962.0,0,1.0,352.0,0,0,0,140,0,0,0,176,0,-1,-1,-1,0,9,2008,0,0,144.0
20,4,91.0,10.652,0,-1,1,0,0,0,0,1,0,0,0,0,7,5,2006,2007,0,0,0,0,2,306.0,1,0,0,1,0,1,0,0.0,0,0.0,1494.0,1494.0,0,0,0,0,1494,0,0,1494,0.0,0.0,2,0,3,1,1,7,0,1,0,0,2006.0,1,3.0,840.0,0,0,0,160,33,0,0,0,0,-1,-1,-1,0,8,2007,1,1,279.5
20,4,-1.0,10.92,0,-1,1,0,0,1,0,0,0,0,0,0,6,5,1960,1960,1,0,1,1,1,212.0,0,0,1,0,0,0,4,733.0,0,0.0,520.0,1253.0,0,1,0,0,1253,0,0,1253,1.0,0.0,1,1,2,1,0,5,0,1,2,0,1960.0,1,1.0,352.0,0,0,0,0,213,176,0,0,0,-1,2,-1,0,5,2008,0,0,157.0
45,3,51.0,6.12,0,-1,0,0,0,1,0,12,0,0,0,6,7,8,1929,2001,0,0,3,3,0,0.0,0,0,2,0,0,0,0,0.0,0,0.0,832.0,832.0,0,0,0,1,854,0,0,854,0.0,0.0,1,0,2,1,0,5,0,0,-1,1,1991.0,0,2.0,576.0,0,0,0,48,112,0,0,0,0,-1,1,-1,0,7,2007,0,0,132.0
20,4,-1.0,11.241,0,-1,1,0,0,2,0,0,0,0,0,0,6,7,1970,1970,0,0,3,3,1,180.0,0,0,1,0,0,0,2,578.0,0,0.0,426.0,1004.0,0,0,0,0,1004,0,0,1004,1.0,0.0,1,0,2,1,0,5,0,1,1,0,1970.0,2,2.0,480.0,0,0,0,0,0,0,0,0,0,-1,-1,0,700,3,2010,0,0,149.0
90,4,72.0,10.791,0,-1,0,0,0,0,0,8,0,0,2,0,4,5,1967,1967,0,0,1,1,0,0.0,0,0,3,-1,-1,-1,-1,0.0,-1,0.0,0.0,0.0,0,1,0,0,1296,0,0,1296,0.0,0.0,2,0,2,2,0,6,0,0,-1,5,1967.0,0,2.0,516.0,0,0,0,0,0,0,0,0,0,-1,-1,0,500,10,2006,0,0,90.0
20,4,66.0,13.695,0,-1,0,0,0,0,0,10,5,0,0,0,5,5,2004,2004,0,0,0,0,0,0.0,0,0,0,0,0,0,1,646.0,0,0.0,468.0,1114.0,0,0,0,0,1114,0,0,1114,1.0,0.0,1,1,3,1,1,6,0,0,-1,1,2004.0,0,2.0,576.0,0,0,0,0,102,0,0,0,0,-1,-1,-1,0,6,2008,0,0,159.0
20,4,70.0,7.56,0,-1,0,0,0,0,0,0,0,0,0,0,5,6,1958,1965,1,0,6,4,0,0.0,0,0,1,0,0,0,5,504.0,0,0.0,525.0,1029.0,0,1,0,0,1339,0,0,1339,0.0,0.0,1,0,3,1,0,6,1,0,-1,0,1958.0,0,1.0,294.0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,5,2009,2,2,139.0
60,4,101.0,14.215,0,-1,1,0,0,1,0,6,0,0,0,1,8,5,2005,2006,0,0,0,0,1,380.0,1,0,0,2,0,1,0,0.0,0,0.0,1158.0,1158.0,0,0,0,0,1158,1218,0,2376,0.0,0.0,3,1,4,1,1,9,0,1,0,2,2005.0,1,3.0,853.0,0,0,0,240,154,0,0,0,0,-1,-1,-1,0,11,2006,1,1,325.3
45,3,57.0,7.449,0,1,0,2,0,0,0,14,0,0,0,6,7,7,1930,1950,0,0,3,3,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,637.0,637.0,0,0,0,2,1108,0,0,1108,0.0,0.0,1,0,3,1,1,6,0,1,0,0,1930.0,0,1.0,280.0,0,0,1,0,0,205,0,0,0,-1,1,-1,0,6,2007,0,0,139.4
20,4,75.0,9.742,0,-1,0,0,0,0,0,1,0,0,0,0,8,5,2002,2002,1,0,0,0,1,281.0,1,0,0,1,0,0,0,0.0,0,0.0,1777.0,1777.0,0,0,0,0,1795,0,0,1795,0.0,0.0,2,0,3,1,1,7,0,1,0,0,2002.0,1,2.0,534.0,0,0,0,171,159,0,0,0,0,-1,-1,-1,0,9,2008,0,0,230.0
120,3,44.0,4.224,0,-1,0,0,0,0,0,20,0,0,1,0,5,7,1976,1976,0,0,5,5,0,0.0,0,0,0,1,0,0,1,840.0,0,0.0,200.0,1040.0,0,1,0,0,1060,0,0,1060,1.0,0.0,1,0,3,1,0,6,0,1,1,0,1976.0,0,2.0,572.0,0,0,0,100,110,0,0,0,0,-1,-1,-1,0,6,2007,0,0,129.9
20,4,-1.0,8.246,0,-1,1,0,0,0,0,8,0,0,0,0,5,8,1968,2001,0,0,4,4,0,0.0,0,1,1,0,0,3,3,188.0,4,668.0,204.0,1060.0,0,0,0,0,1060,0,0,1060,1.0,0.0,1,0,3,1,1,6,0,1,1,0,1968.0,0,1.0,270.0,0,0,0,406,90,0,0,0,0,-1,0,-1,0,5,2010,0,0,154.0
20,4,110.0,14.23,0,-1,0,0,0,1,0,6,0,0,0,0,8,5,2007,2007,0,0,0,0,2,640.0,1,0,0,1,0,0,0,0.0,0,0.0,1566.0,1566.0,0,0,0,0,1600,0,0,1600,0.0,0.0,2,0,3,1,1,7,0,1,0,0,2007.0,1,3.0,890.0,0,0,0,0,56,0,0,0,0,-1,-1,-1,0,7,2009,0,0,256.3
20,4,60.0,7.2,0,-1,0,0,0,1,0,0,0,0,0,0,5,7,1951,2000,0,0,3,3,0,0.0,0,0,1,0,0,3,4,234.0,1,486.0,180.0,900.0,0,1,0,0,900,0,0,900,0.0,1.0,1,0,3,1,1,5,0,0,-1,1,2005.0,0,2.0,576.0,0,0,0,222,32,0,0,0,0,-1,-1,-1,0,5,2010,0,0,134.8
20,4,98.0,11.478,0,-1,0,0,0,0,0,6,0,0,0,0,8,5,2007,2008,0,0,0,0,2,200.0,1,0,0,2,0,0,1,1218.0,0,0.0,486.0,1704.0,0,0,0,0,1704,0,0,1704,1.0,0.0,2,0,3,1,1,7,0,1,0,0,2008.0,1,3.0,772.0,0,0,0,0,50,0,0,0,0,-1,-1,-1,0,5,2010,0,0,306.0
20,4,47.0,16.321,0,-1,1,0,0,2,0,0,0,0,0,0,5,6,1957,1997,0,0,1,1,0,0.0,0,0,1,0,0,2,4,1277.0,0,0.0,207.0,1484.0,0,1,0,0,1600,0,0,1600,1.0,0.0,1,0,2,1,0,6,0,2,0,0,1957.0,1,1.0,319.0,0,0,0,288,258,0,0,0,0,-1,-1,-1,0,12,2006,0,0,207.5
30,3,60.0,6.324,0,-1,1,0,0,0,0,12,1,5,0,0,4,6,1927,1950,0,0,1,1,0,0.0,0,0,2,0,0,0,0,0.0,0,0.0,520.0,520.0,0,3,1,0,520,0,0,520,0.0,0.0,1,0,1,1,3,4,0,0,-1,1,1920.0,0,1.0,240.0,1,0,0,49,0,87,0,0,0,-1,-1,-1,0,5,2008,0,0,68.5
70,0,50.0,8.5,0,0,0,0,0,0,0,14,1,0,0,1,4,4,1920,1950,2,0,6,7,0,0.0,0,2,2,0,0,0,0,0.0,0,0.0,649.0,649.0,0,1,1,0,649,668,0,1317,0.0,0.0,1,0,3,1,0,6,0,0,-1,1,1920.0,0,1.0,250.0,0,1,1,0,54,172,0,0,0,-1,0,-1,0,7,2008,0,0,40.0
20,4,-1.0,8.544,0,-1,1,0,0,2,0,8,0,0,0,0,5,6,1966,2006,0,0,2,2,0,0.0,0,0,1,0,0,0,0,0.0,0,0.0,1228.0,1228.0,0,2,0,0,1228,0,0,1228,0.0,0.0,1,1,3,1,1,6,0,0,-1,0,1966.0,0,1.0,271.0,0,0,0,0,65,0,0,0,0,-1,0,-1,0,6,2008,0,0,149.35
20,4,85.0,11.049,0,-1,0,0,0,1,0,1,0,0,0,0,8,5,2007,2007,0,0,0,0,0,0.0,1,0,0,2,0,1,0,0.0,0,0.0,1234.0,1234.0,0,0,0,0,1234,0,0,1234,0.0,0.0,2,0,3,1,1,7,0,0,-1,0,2007.0,1,2.0,484.0,0,0,0,0,30,0,0,0,0,-1,-1,-1,0,1,2008,0,0,179.9
20,4,70.0,10.552,0,-1,1,0,0,0,0,0,0,0,0,0,5,5,1959,1959,1,0,6,7,0,0.0,0,0,1,0,0,0,3,1018.0,0,0.0,380.0,1398.0,0,2,0,0,1700,0,0,1700,0.0,1.0,1,1,4,1,1,6,0,1,0,0,1959.0,1,2.0,447.0,0,0,0,0,38,0,0,0,0,-1,-1,-1,0,4,2010,0,0,165.5
120,4,60.0,7.313,0,-1,0,0,0,0,0,6,0,0,1,0,9,5,2005,2005,1,0,1,1,1,246.0,2,0,0,2,0,0,1,1153.0,0,0.0,408.0,1561.0,0,0,0,0,1561,0,0,1561,1.0,0.0,2,0,2,1,2,6,0,1,0,0,2005.0,2,2.0,556.0,0,0,0,203,47,0,0,0,0,-1,-1,-1,0,8,2007,0,0,277.5
60,4,108.0,13.418,0,-1,0,0,0,0,0,6,0,0,0,1,8,5,2004,2005,0,0,0,0,2,132.0,1,0,0,2,0,1,0,0.0,0,0.0,1117.0,1117.0,0,0,0,0,1132,1320,0,2452,0.0,0.0,3,1,4,1,1,9,0,1,0,2,2004.0,2,3.0,691.0,0,0,0,113,32,0,0,0,0,-1,-1,-1,0,9,2006,0,0,309.0
20,4,112.0,10.859,0,-1,0,0,0,1,0,1,0,0,0,0,5,5,1994,1995,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0.0,0,0.0,1097.0,1097.0,0,0,0,0,1097,0,0,1097,0.0,0.0,1,1,3,1,0,6,0,0,-1,0,1995.0,0,2.0,672.0,0,0,0,392,64,0,0,0,0,-1,-1,-1,0,6,2009,0,0,145.0
20,4,74.0,8.532,0,-1,0,0,0,0,0,0,0,0,0,0,5,6,1954,1990,1,0,3,3,1,650.0,0,0,1,0,0,0,3,1213.0,0,0.0,84.0,1297.0,0,2,0,0,1297,0,0,1297,0.0,1.0,1,0,3,1,0,5,0,1,1,0,1954.0,2,2.0,498.0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,10,2009,0,0,153.0
20,4,68.0,7.922,0,-1,0,0,0,0,0,0,0,0,0,0,5,7,1953,2007,0,0,0,0,0,0.0,0,1,1,0,0,0,1,731.0,0,0.0,326.0,1057.0,0,1,0,0,1057,0,0,1057,1.0,0.0,1,0,3,1,1,5,0,0,-1,1,1953.0,0,1.0,246.0,0,0,0,0,52,0,0,0,0,-1,-1,-1,0,1,2010,0,2,109.0
90,4,65.0,6.04,0,-1,0,0,0,0,0,4,0,0,2,0,4,5,1955,1955,0,0,8,4,0,0.0,0,0,0,-1,-1,-1,-1,0.0,-1,0.0,0.0,0.0,0,1,1,3,1152,0,0,1152,0.0,0.0,2,0,2,2,3,6,0,0,-1,-1,-1.0,-1,0.0,0.0,-1,-1,1,0,0,0,0,0,0,-1,-1,-1,0,6,2008,0,5,82.0
20,4,84.0,8.658,0,-1,0,0,0,0,0,0,0,0,0,0,6,5,1965,1965,0,0,3,3,1,101.0,0,0,1,0,0,0,3,643.0,0,0.0,445.0,1088.0,0,0,0,0,1324,0,0,1324,0.0,0.0,2,0,3,1,0,6,0,1,1,0,1965.0,1,2.0,440.0,0,0,0,0,138,0,0,0,0,-1,2,-1,0,12,2006,0,2,160.0
20,4,115.0,16.905,0,-1,0,0,0,0,0,15,0,0,0,0,5,6,1959,1959,0,0,0,0,0,0.0,0,1,1,0,0,2,4,967.0,0,0.0,383.0,1350.0,0,2,0,0,1328,0,0,1328,0.0,1.0,1,1,2,1,0,5,0,2,0,0,1959.0,1,1.0,308.0,0,0,2,0,104,0,0,0,0,-1,-1,-1,0,7,2007,0,0,170.0
85,4,-1.0,9.18,0,-1,1,0,0,2,0,10,0,0,0,4,5,7,1983,1983,0,0,2,2,0,0.0,0,0,1,1,0,1,2,747.0,2,93.0,0.0,840.0,0,2,0,0,884,0,0,884,1.0,0.0,1,0,2,1,1,5,0,0,-1,0,1983.0,1,2.0,504.0,0,2,0,240,0,0,0,0,0,-1,0,-1,0,12,2007,0,0,144.0
20,4,-1.0,9.2,0,-1,1,0,0,2,0,1,0,0,0,0,5,6,1975,1980,1,0,0,0,0,0.0,0,0,1,1,0,1,5,280.0,3,491.0,167.0,938.0,0,1,0,0,938,0,0,938,1.0,0.0,1,0,3,1,0,5,0,0,-1,1,1977.0,0,1.0,308.0,0,0,0,145,0,0,0,0,0,-1,0,-1,0,7,2008,0,0,130.25
20,4,70.0,7.945,0,-1,0,0,0,0,0,0,0,0,0,0,5,6,1959,1959,0,0,6,3,0,0.0,0,0,1,0,0,0,2,179.0,3,506.0,465.0,1150.0,0,0,0,1,1150,0,0,1150,1.0,0.0,1,0,3,1,0,6,0,0,-1,0,1959.0,1,1.0,300.0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,5,2006,0,0,141.0
120,4,61.0,7.658,0,-1,0,0,0,0,0,6,0,0,1,0,9,5,2005,2005,1,0,1,1,1,412.0,2,0,0,2,0,0,1,456.0,0,0.0,1296.0,1752.0,0,0,0,0,1752,0,0,1752,1.0,0.0,2,0,2,1,2,6,0,1,0,0,2005.0,1,2.0,576.0,0,0,0,196,82,0,0,0,0,-1,-1,-1,0,2,2010,0,0,319.9
50,4,48.0,12.822,0,-1,1,0,0,2,0,11,0,0,0,2,7,5,2003,2003,0,0,0,0,0,0.0,1,0,0,2,0,0,1,1351.0,0,0.0,83.0,1434.0,0,0,0,0,1518,631,0,2149,1.0,0.0,1,1,1,1,1,6,0,1,4,0,2003.0,1,2.0,670.0,0,0,0,168,43,0,0,198,0,-1,-1,-1,0,8,2009,0,2,239.686
20,2,84.0,11.096,0,-1,0,0,0,0,0,5,0,0,0,0,8,5,2006,2006,0,0,0,0,0,0.0,1,0,0,1,0,1,1,24.0,0,0.0,1632.0,1656.0,0,0,0,0,1656,0,0,1656,0.0,0.0,2,0,3,1,1,7,0,0,-1,0,2006.0,1,3.0,826.0,0,0,0,0,146,0,0,0,0,-1,-1,-1,0,7,2007,0,0,249.7
190,3,33.0,4.456,0,-1,0,0,0,0,0,2,0,0,4,1,4,5,1920,2008,0,0,1,1,0,0.0,0,0,2,0,0,0,0,0.0,0,0.0,736.0,736.0,0,2,0,0,736,716,0,1452,0.0,0.0,2,0,2,3,0,8,0,0,-1,-1,-1.0,-1,0.0,0.0,-1,-1,1,0,0,102,0,0,0,-1,-1,-1,0,6,2009,1,1,113.0
20,4,66.0,7.742,0,-1,0,0,0,0,0,8,0,0,0,0,5,7,1966,1966,0,0,2,2,0,0.0,0,0,1,0,0,0,4,763.0,0,0.0,192.0,955.0,0,0,0,0,955,0,0,955,1.0,0.0,1,0,3,1,0,6,0,0,-1,0,1966.0,0,1.0,386.0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,2007,0,0,127.0
60,4,-1.0,13.869,0,-1,2,0,0,1,0,7,0,0,0,1,6,6,1997,1997,0,0,0,0,0,0.0,0,0,0,1,0,1,1,182.0,0,0.0,612.0,794.0,0,2,0,0,794,676,0,1470,0.0,1.0,2,0,3,1,0,6,0,0,-1,0,1997.0,2,2.0,388.0,0,0,0,0,75,0,0,0,0,-1,-1,-1,0,7,2007,0,0,177.0
50,3,52.0,6.24,0,-1,0,0,0,0,0,12,0,0,0,2,6,6,1934,1950,0,0,3,3,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,816.0,816.0,0,1,0,0,816,0,360,1176,0.0,0.0,1,0,3,1,0,6,0,1,0,1,1985.0,0,2.0,528.0,0,0,0,112,0,0,0,0,0,-1,0,0,400,9,2006,0,0,114.5
90,3,110.0,8.472,1,-1,2,2,0,1,1,14,7,0,2,0,5,5,1963,1963,0,0,3,3,0,0.0,3,0,1,1,0,2,5,104.0,5,712.0,0.0,816.0,0,1,1,0,816,0,0,816,1.0,0.0,1,0,2,1,0,5,0,0,-1,5,1963.0,0,2.0,516.0,0,0,0,106,0,0,0,0,0,-1,-1,-1,0,5,2010,0,0,110.0
20,4,68.0,50.271,0,-1,1,3,0,0,0,23,0,0,0,0,9,5,1981,1987,0,3,7,6,0,0.0,1,0,1,2,0,2,1,1810.0,0,0.0,32.0,1842.0,0,2,0,0,1842,0,0,1842,2.0,0.0,0,1,0,1,1,5,0,1,0,0,1981.0,2,3.0,894.0,0,0,0,857,72,0,0,0,0,-1,-1,-1,0,11,2006,0,0,385.0
80,4,60.0,7.134,0,-1,0,2,0,0,1,0,0,0,0,3,5,5,1955,1955,0,0,1,1,0,0.0,0,0,1,0,0,0,2,384.0,0,0.0,0.0,384.0,0,1,0,0,1360,0,0,1360,0.0,0.0,1,0,3,1,0,6,1,1,1,1,1962.0,0,2.0,572.0,0,0,0,0,50,0,0,0,0,-1,0,-1,0,2,2007,0,0,130.0
20,4,100.0,10.175,0,-1,1,0,0,0,0,0,0,0,0,0,6,5,1964,1964,0,0,2,4,1,272.0,0,0,1,0,0,0,4,490.0,0,0.0,935.0,1425.0,0,2,0,0,1425,0,0,1425,0.0,0.0,2,0,3,1,0,7,0,1,0,0,1964.0,1,2.0,576.0,0,0,0,0,0,0,407,0,0,-1,-1,-1,0,7,2008,0,0,180.5
160,2,24.0,2.645,0,0,0,0,0,0,0,5,0,0,3,1,8,5,1999,2000,0,0,1,1,1,456.0,1,0,0,1,0,0,1,649.0,0,0.0,321.0,970.0,0,0,0,0,983,756,0,1739,1.0,0.0,2,1,3,1,1,7,0,0,-1,0,1999.0,2,2.0,480.0,0,0,0,115,0,0,0,0,0,-1,-1,-1,0,8,2009,0,2,172.5
60,4,89.0,11.645,0,-1,1,0,0,1,0,1,0,0,0,1,7,5,2004,2004,0,0,0,0,0,0.0,1,0,0,1,0,0,0,0.0,0,0.0,860.0,860.0,0,0,0,0,860,860,0,1720,0.0,0.0,2,1,3,1,1,7,0,0,-1,0,2004.0,1,2.0,565.0,0,0,0,0,70,0,0,0,0,-1,-1,-1,0,8,2006,0,0,196.5
60,4,66.0,13.682,0,-1,2,1,0,2,0,17,0,0,0,1,10,5,2006,2006,1,0,0,0,1,1031.0,2,0,0,2,0,2,0,0.0,0,0.0,1410.0,1410.0,0,0,0,0,1426,1519,0,2945,0.0,0.0,3,1,3,1,1,10,0,1,0,2,2006.0,2,3.0,641.0,0,0,0,192,0,37,0,0,0,-1,-1,-1,0,10,2006,1,1,438.78
20,4,60.0,7.2,0,-1,0,2,0,0,0,1,0,0,0,0,5,7,1972,1972,0,0,2,2,0,0.0,0,0,1,0,0,1,2,632.0,0,0.0,148.0,780.0,0,0,0,0,780,0,0,780,0.0,0.0,1,0,2,1,0,4,0,0,-1,1,1973.0,0,1.0,352.0,0,0,0,196,0,0,0,0,0,-1,0,-1,0,1,2008,0,0,124.9
20,4,63.0,13.072,0,-1,0,0,0,0,0,10,5,0,0,0,6,5,2004,2004,0,0,0,0,0,0.0,0,0,0,1,0,0,2,941.0,0,0.0,217.0,1158.0,0,0,0,0,1158,0,0,1158,1.0,0.0,1,1,3,1,1,5,0,0,-1,1,2006.0,0,2.0,576.0,0,0,0,0,50,0,0,0,0,-1,-1,-1,0,5,2006,1,1,158.0
75,3,60.0,7.2,0,-1,0,0,0,0,0,14,0,0,0,5,5,7,1920,1996,0,0,1,1,0,0.0,0,0,2,0,2,0,0,0.0,0,0.0,530.0,530.0,0,1,1,0,581,530,0,1111,0.0,0.0,1,0,3,1,3,6,0,0,-1,1,1935.0,0,1.0,288.0,0,0,1,0,0,144,0,0,0,-1,-1,-1,0,3,2007,0,0,101.0
120,4,44.0,6.442,0,-1,1,0,0,0,0,6,0,0,1,0,8,5,2006,2006,0,0,0,0,2,178.0,1,0,0,1,1,3,1,24.0,0,0.0,1346.0,1370.0,0,0,0,0,1370,0,0,1370,0.0,0.0,2,0,2,1,1,6,0,1,0,0,2006.0,1,2.0,484.0,0,0,0,120,49,0,0,0,0,-1,-1,-1,0,10,2007,0,0,202.5
70,3,50.0,10.3,0,-1,1,2,0,0,0,2,3,1,0,1,7,6,1921,1950,0,0,9,8,0,0.0,0,0,2,0,0,0,0,0.0,0,0.0,576.0,576.0,0,2,0,0,902,808,0,1710,0.0,0.0,2,0,3,1,0,9,0,0,-1,1,1990.0,0,2.0,480.0,0,0,0,12,11,64,0,0,0,-1,1,-1,0,4,2010,0,0,140.0
60,4,-1.0,9.375,0,-1,0,0,0,0,0,1,0,0,0,1,7,5,1997,1998,0,0,0,0,1,573.0,0,0,0,1,0,0,1,739.0,0,0.0,318.0,1057.0,0,0,0,0,1057,977,0,2034,1.0,0.0,2,1,3,1,1,8,0,0,-1,0,1998.0,1,2.0,645.0,0,0,0,576,36,0,0,0,0,-1,1,-1,0,2,2009,0,0,219.5
